Id,Score,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32
54,1,6,1,a,a,0,0,2,a,b,17,a,a,3,72,b,16,f,3,2,a,3,a,3,b,a,15,j,a,b,5,9,a
55,1,0,5,b,a,0,0,12,e,b,3,c,f,1,30,a,9,a,2,0,a,6,a,1,c,a,13,b,a,b,5,15,b
56,1,8,6,c,a,0,3,3,e,b,5,e,f,1,98,k,8,i,1,0,b,1,b,1,b,a,12,f,b,b,5,0,a
57,1,17,10,b,a,0,5,13,a,b,7,a,f,0,70,i,9,a,0,0,a,3,a,1,a,a,12,a,a,b,15,18,a
58,7,11,1,b,a,0,1,12,e,b,0,d,g,1,46,r,16,f,2,0,b,0,a,1,b,a,10,f,e,b,5,12,b
59,6,10,6,a,a,0,3,4,d,b,16,d,a,0,61,k,7,g,0,4,a,4,a,3,b,a,6,h,a,b,10,3,b
60,1,0,0,c,b,0,0,2,e,b,11,c,f,1,54,b,6,b,1,0,a,2,b,1,b,b,11,b,a,b,10,9,b
61,5,4,0,a,a,0,2,8,a,b,15,d,a,1,66,k,14,i,1,3,a,2,a,3,b,a,13,f,a,b,15,18,a
62,2,3,10,a,b,0,2,3,d,b,10,c,h,1,76,i,7,a,1,2,a,3,a,1,b,b,18,b,a,b,15,3,b
63,4,1,1,a,a,0,0,8,e,b,17,d,f,1,8,r,6,i,1,0,a,3,a,1,b,a,10,h,a,b,5,0,b
64,4,6,6,a,a,0,2,5,e,b,0,e,a,1,81,j,8,g,1,5,b,1,b,3,b,a,12,h,a,b,15,3,b
65,7,14,5,b,a,0,1,14,a,b,0,c,c,0,28,i,9,b,0,0,a,0,a,1,b,a,1,j,b,b,5,18,a
66,1,4,10,b,a,0,3,14,a,b,14,c,f,1,31,b,13,f,4,0,b,2,a,1,b,a,6,a,a,d,15,3,a
67,4,14,5,d,a,0,8,8,c,a,0,d,h,3,76,j,16,f,3,10,a,5,b,1,b,a,12,f,a,b,15,18,b
68,3,16,5,a,a,0,4,4,e,b,3,c,a,1,70,b,7,a,1,2,b,4,b,3,b,a,10,b,a,b,5,3,b
69,6,4,6,a,b,0,2,5,e,b,23,e,a,1,96,k,7,g,1,3,b,4,b,1,b,b,14,h,a,b,10,9,b
70,7,17,1,a,b,0,4,12,e,b,17,c,f,1,80,i,12,c,1,0,b,0,b,3,b,b,11,j,a,b,0,15,b
71,1,18,5,a,b,0,1,4,e,b,9,d,b,5,73,p,9,i,5,4,b,3,a,1,b,b,11,f,c,b,5,15,b
72,1,5,10,a,a,0,3,7,c,b,18,d,f,1,62,r,8,i,3,1,b,5,a,1,b,a,4,f,a,b,15,15,b
73,7,7,10,a,b,0,4,4,e,b,16,c,b,1,73,i,6,a,1,0,a,3,a,1,b,b,8,b,a,b,10,9,a
74,1,4,6,a,a,0,2,3,a,b,11,a,f,0,59,b,8,a,0,1,a,6,a,3,b,a,12,b,a,b,10,9,a
75,11,3,1,a,a,0,2,5,e,b,23,e,a,1,64,k,6,g,1,6,a,3,a,3,b,a,13,f,a,b,0,9,b
76,8,18,10,a,a,0,1,7,d,b,3,d,a,1,51,p,13,g,1,9,a,5,a,1,b,a,13,h,a,b,5,18,b
77,1,4,5,a,a,0,1,1,e,a,23,d,b,0,55,k,12,i,2,2,b,6,b,3,b,a,10,h,f,b,15,3,b
78,11,13,10,a,a,0,3,6,b,b,15,d,c,1,79,j,10,i,6,4,b,3,a,1,b,a,5,f,a,b,5,18,a
79,1,13,0,a,a,0,2,6,a,b,6,d,a,3,67,r,7,g,5,8,a,2,b,1,b,a,11,f,a,b,10,9,a
80,1,3,10,a,b,0,2,16,e,b,6,d,a,1,92,k,7,i,1,2,b,6,a,3,b,a,12,g,a,b,15,15,b
81,7,21,1,a,a,0,0,13,a,b,18,d,c,0,64,m,22,i,0,2,a,6,b,1,b,a,5,h,a,b,0,0,a
82,4,11,10,a,a,0,5,15,c,b,20,c,a,1,10,g,7,a,3,0,b,0,b,2,b,a,5,b,a,b,5,18,b
83,1,18,5,a,a,0,6,12,e,b,7,c,a,3,29,i,11,c,3,2,a,3,a,1,b,a,13,b,a,b,15,3,a
84,4,14,10,a,a,0,4,3,d,b,5,c,a,1,66,b,10,b,1,8,b,2,b,1,b,a,14,b,a,b,0,9,b
85,1,5,1,b,a,0,3,18,d,b,14,c,f,1,33,b,7,a,3,0,b,2,a,1,b,a,4,b,a,d,0,15,b
86,13,17,6,b,a,0,5,8,a,b,3,c,b,0,33,e,9,c,0,0,b,5,a,1,b,a,6,b,a,b,5,6,a
87,11,17,1,a,a,0,4,7,e,b,1,c,f,5,87,b,11,f,5,6,a,3,a,1,b,a,13,b,a,b,15,12,b
88,5,5,10,b,a,0,3,12,a,b,10,d,f,0,41,m,14,f,0,0,b,2,b,1,b,a,11,l,a,d,15,9,a
89,1,16,1,a,a,0,1,8,e,b,1,c,a,0,93,b,11,c,0,11,b,0,a,3,b,a,21,b,a,b,5,15,a
90,8,17,1,a,a,0,0,5,e,b,21,d,c,1,26,k,9,i,1,2,a,0,a,3,b,a,5,f,a,b,5,12,b
91,1,7,1,a,a,0,1,14,a,b,6,d,f,2,11,k,12,i,2,11,b,4,a,3,b,a,16,f,a,b,15,9,a
92,8,7,6,a,b,0,0,16,e,b,13,d,f,1,87,k,7,i,4,0,a,3,b,1,b,b,4,f,b,b,15,18,b
93,4,20,5,a,b,0,2,9,d,b,4,d,f,1,68,r,19,i,2,3,a,5,a,1,b,b,9,f,a,b,5,9,b
94,2,12,5,a,a,0,2,4,c,b,16,c,b,1,60,b,6,a,1,3,a,0,b,1,b,a,15,b,a,b,5,6,b
95,1,3,5,a,a,0,2,4,a,b,9,d,a,1,48,r,8,g,3,1,b,2,a,3,b,a,3,f,a,b,10,9,a
96,1,11,10,a,a,0,4,13,c,b,0,c,h,1,78,i,3,a,2,4,a,5,a,1,b,a,7,b,a,b,10,18,b
97,19,20,10,a,a,0,4,12,e,b,14,d,f,0,20,r,21,i,0,3,a,3,a,3,b,a,6,h,c,b,15,18,b
98,19,11,1,c,b,0,0,8,e,b,17,d,f,1,65,k,15,i,2,0,a,3,b,1,b,b,15,h,a,b,5,15,b
99,7,18,1,b,a,0,3,18,a,b,4,d,h,1,64,r,10,f,1,0,a,3,a,1,b,a,4,f,a,b,15,9,a
100,3,22,1,a,a,0,5,8,c,b,6,c,f,1,64,i,15,c,1,10,a,3,b,1,b,a,14,b,a,b,10,9,b
101,4,1,6,a,b,0,1,7,e,b,1,d,f,1,74,n,12,i,1,5,b,6,b,1,b,b,10,f,a,b,5,3,b
102,7,3,1,a,b,0,2,6,e,b,16,c,a,0,87,i,5,a,0,2,b,4,b,1,b,b,10,b,a,b,5,15,b
103,2,19,10,b,a,1,0,0,e,b,20,d,b,2,22,n,18,f,4,2,b,0,a,2,b,a,13,f,g,b,10,15,a
104,5,7,0,a,b,0,2,7,e,b,18,d,f,1,50,k,10,i,1,4,a,2,a,1,b,b,10,f,a,b,15,18,b
105,1,20,5,b,a,0,4,11,e,b,12,d,f,1,63,k,19,f,1,0,b,6,a,1,b,a,4,f,a,b,5,15,b
106,4,8,10,c,a,0,1,7,e,b,12,d,h,1,57,r,12,i,2,0,a,4,a,1,b,a,3,f,a,b,15,3,a
107,1,11,10,a,a,0,1,1,e,b,23,c,b,1,52,b,10,a,1,6,b,3,b,2,b,a,10,b,f,b,15,9,b
108,7,6,10,a,b,0,1,4,e,b,12,e,a,1,71,k,6,g,1,0,b,5,b,1,d,b,14,f,a,b,10,18,b
109,4,18,10,a,a,0,4,4,c,b,6,d,e,0,99,r,11,i,0,1,b,5,b,1,b,a,12,g,a,b,10,6,b
110,1,6,6,a,a,0,4,9,a,b,16,d,d,1,90,r,19,i,1,1,a,0,b,1,b,a,19,f,a,b,5,9,a
111,13,9,10,b,a,0,6,2,d,b,0,d,h,1,43,k,8,f,1,0,a,2,b,1,b,a,16,f,b,c,15,15,b
112,15,10,10,b,a,0,0,18,a,b,0,d,f,2,34,r,15,f,4,0,b,5,b,1,b,a,17,h,a,b,10,9,a
113,2,6,10,a,a,0,0,18,e,d,2,c,a,0,39,a,16,f,0,0,b,4,a,1,b,a,5,b,a,b,5,9,b
114,5,13,6,a,b,1,2,8,e,b,19,c,f,4,67,b,5,c,4,3,a,2,a,1,b,b,5,b,a,b,15,15,b
115,1,11,1,b,a,0,1,2,d,b,8,d,f,1,7,m,8,f,2,0,b,4,b,1,b,a,0,h,a,b,5,9,b
116,1,16,1,c,b,0,2,4,c,b,20,d,b,0,93,r,6,i,0,0,b,3,a,1,b,b,15,h,a,b,15,15,a
117,1,13,1,a,a,0,0,6,d,b,16,c,a,1,10,i,6,a,1,4,a,3,b,1,b,a,14,b,a,b,5,15,b
118,1,5,6,a,b,0,3,1,e,a,21,d,b,1,76,r,8,i,1,1,b,1,a,1,b,b,12,f,f,b,10,18,b
119,5,22,5,a,a,0,2,10,a,b,18,d,f,0,61,r,16,i,0,1,b,6,a,1,b,a,3,f,a,b,5,6,a
120,1,11,1,a,a,0,1,11,a,b,0,d,f,0,22,k,13,i,1,8,b,2,a,2,b,a,11,f,a,b,10,15,a
121,1,16,10,a,b,0,3,8,c,b,0,c,a,0,55,b,12,c,0,3,b,4,a,3,b,b,4,b,a,b,10,15,b
122,1,17,1,b,a,0,4,3,e,b,19,c,g,1,14,b,9,a,0,0,a,5,a,1,b,a,1,b,a,d,10,9,a
123,16,14,10,a,a,0,5,4,e,b,10,d,a,1,14,r,8,g,1,2,b,6,a,3,b,a,11,f,a,b,15,15,b
124,6,11,5,a,a,0,4,15,e,b,11,d,f,0,83,k,10,i,0,10,b,2,a,1,b,a,16,f,a,b,5,15,a
125,1,9,5,b,a,0,3,1,e,b,2,c,f,1,42,b,10,b,1,0,a,6,b,2,b,a,13,b,a,b,15,18,b
126,1,4,5,a,a,0,3,5,e,b,20,c,a,1,50,b,7,a,2,0,a,1,a,2,b,a,12,b,a,b,10,12,b
127,3,6,5,a,b,0,0,5,e,b,23,d,a,1,89,m,6,g,3,0,a,3,b,2,b,b,6,h,a,b,15,12,b
128,4,5,10,a,a,0,3,4,a,b,17,c,a,1,89,a,9,a,1,10,b,2,a,3,b,a,18,b,a,b,5,18,a
129,1,9,10,a,a,0,6,6,e,b,15,d,a,1,87,r,9,h,1,3,a,4,a,3,b,a,20,f,a,b,10,0,b
130,7,14,5,b,a,0,0,3,e,b,24,c,b,1,75,b,9,a,0,1,a,5,a,1,b,a,3,b,a,b,5,0,b
131,1,17,10,b,a,0,1,6,a,b,14,d,c,0,24,k,7,f,0,0,a,2,b,1,b,a,2,f,a,b,5,18,a
132,3,17,1,a,a,0,2,4,e,b,15,d,a,1,37,k,7,i,1,4,b,1,a,1,b,a,7,f,a,b,15,12,b
133,8,5,5,a,a,0,0,3,c,b,0,d,a,0,54,r,10,g,0,9,a,2,a,1,b,a,20,f,b,b,10,12,b
134,1,11,5,a,a,1,4,11,e,b,8,c,c,1,23,i,29,c,1,5,a,4,a,1,b,a,12,j,a,b,5,6,b
135,2,18,10,a,a,0,2,17,e,b,10,c,a,0,27,e,8,b,0,0,a,6,a,2,b,a,10,b,a,b,10,18,b
136,6,7,0,a,b,0,4,6,e,d,10,d,f,0,35,j,6,i,0,0,b,3,b,1,b,b,9,f,a,b,5,6,b
137,1,18,10,a,a,0,1,5,a,b,20,d,a,1,70,k,7,h,1,3,a,3,a,3,b,a,11,f,a,b,5,9,a
138,6,17,10,c,b,0,3,1,d,b,22,d,b,1,98,p,12,i,3,3,a,2,a,1,b,b,16,k,a,b,15,18,b
139,1,15,10,a,b,0,2,2,e,b,2,a,f,1,85,b,10,a,3,3,a,2,a,1,b,b,11,j,a,b,10,15,b
140,4,21,10,b,a,0,0,18,a,b,17,c,a,1,46,e,19,c,1,0,b,6,a,1,b,a,12,a,a,b,15,0,a
141,8,9,10,b,b,0,6,9,e,b,0,d,f,1,77,j,23,f,4,5,b,1,a,1,b,b,9,i,a,b,10,15,b
142,5,8,1,a,a,0,2,16,e,b,2,d,h,1,48,k,6,g,1,6,a,4,a,1,b,a,12,h,a,a,0,0,b
143,2,11,1,b,a,0,1,2,a,b,1,a,f,1,63,b,16,f,1,0,a,3,a,2,b,a,4,b,a,b,10,12,a
144,4,10,10,b,a,0,0,0,e,d,20,c,b,1,24,c,9,a,2,1,a,1,b,2,b,a,8,b,a,b,0,12,a
145,1,0,5,a,a,0,0,2,e,b,9,c,f,0,43,e,9,b,0,0,a,5,a,1,b,a,9,j,a,b,5,3,b
146,4,1,5,c,a,0,1,4,c,b,5,c,f,1,27,c,6,a,2,0,a,5,a,3,b,a,9,b,a,b,10,12,b
147,4,10,6,a,a,0,3,6,e,b,1,d,a,0,43,r,8,g,2,0,a,5,a,1,b,a,2,f,a,b,5,18,b
148,4,14,1,a,a,0,0,17,c,b,0,d,a,1,63,k,7,g,0,2,b,2,a,3,b,a,13,f,a,c,15,0,b
149,6,7,0,a,b,0,5,3,e,b,19,d,f,2,54,r,8,i,2,1,b,3,a,3,b,b,5,i,a,b,15,15,b
150,2,16,1,a,a,0,3,17,a,b,18,c,f,0,30,i,8,c,0,11,b,3,a,1,b,a,18,d,a,b,15,3,a
151,1,3,10,a,a,0,0,14,d,b,8,c,f,1,40,b,12,f,3,2,b,0,a,1,b,a,7,b,a,a,5,12,b
152,2,18,1,c,b,0,5,4,e,b,16,d,b,1,51,r,7,i,1,0,b,6,b,1,b,b,13,g,c,b,15,12,b
153,4,19,1,a,b,0,2,14,e,b,16,c,f,1,52,i,13,c,1,2,b,5,a,1,b,b,8,b,a,b,5,15,b
154,5,3,6,a,a,0,2,7,c,b,0,c,a,1,67,c,10,c,3,2,b,2,a,3,b,a,10,b,a,b,10,15,b
155,1,11,5,a,a,0,1,5,e,b,20,d,a,1,99,k,9,g,1,6,a,5,a,3,b,a,15,h,a,b,5,15,b
156,1,5,5,a,a,0,1,4,e,b,12,c,f,2,32,a,7,a,2,1,b,6,b,2,b,a,11,b,a,b,10,18,b
157,10,13,1,b,a,0,3,6,d,b,5,e,a,0,95,j,8,f,0,0,a,3,a,1,b,a,13,f,b,b,15,12,b
158,14,2,1,a,b,0,1,5,e,b,23,d,a,0,26,k,8,g,0,1,a,3,a,1,b,b,6,f,a,b,15,0,b
159,7,18,1,d,a,0,0,8,b,b,0,d,f,1,82,p,12,f,1,5,b,1,a,1,b,a,13,f,a,b,15,9,b
160,4,5,6,a,a,0,0,7,e,b,10,d,h,1,40,k,10,g,1,0,a,2,b,1,b,a,3,f,d,b,5,9,b
161,1,0,6,b,a,0,0,13,e,b,4,c,c,0,85,d,12,f,0,0,b,2,a,3,b,a,17,j,a,b,10,3,b
162,9,6,10,b,a,0,3,6,a,b,5,d,a,1,91,m,9,f,1,0,b,2,a,3,b,a,5,h,a,b,15,9,a
163,4,12,1,a,a,0,0,16,d,b,0,c,a,2,40,i,9,b,3,9,b,0,a,1,b,a,10,b,a,b,10,0,b
164,1,16,6,a,a,0,0,1,e,b,24,c,b,1,60,b,9,a,0,3,a,3,b,2,b,a,4,j,a,b,10,15,b
165,4,17,10,a,a,0,1,16,c,b,3,c,a,1,75,g,7,b,3,1,b,3,b,1,b,a,5,b,a,b,5,6,b
166,1,2,10,a,a,0,1,2,e,b,17,d,f,1,80,k,14,i,1,1,a,0,b,1,b,a,16,f,a,b,10,18,b
167,1,12,6,b,a,0,3,12,c,b,6,d,a,0,40,k,17,f,0,0,b,2,a,1,b,a,11,f,a,b,15,9,b
168,2,9,1,a,a,0,6,12,a,b,15,d,f,1,94,j,18,i,2,5,a,6,a,1,b,a,11,i,a,b,5,12,a
169,7,13,5,a,a,0,4,6,c,b,3,d,f,1,97,j,7,i,1,10,a,4,a,1,b,a,15,g,a,b,15,18,b
170,14,12,1,a,a,0,7,8,e,b,16,c,f,1,70,b,11,f,2,3,a,2,a,1,b,a,8,b,a,b,10,15,b
171,3,16,6,a,a,0,3,16,a,b,19,c,a,0,62,h,7,b,0,5,b,6,b,1,b,a,12,b,a,d,5,0,a
172,9,16,5,a,a,0,4,5,e,b,6,c,a,1,76,b,7,a,3,4,a,3,a,1,b,a,8,b,a,b,10,0,b
173,5,18,6,a,b,0,0,15,c,b,20,c,h,0,86,e,12,b,0,3,a,4,a,1,b,b,13,b,a,b,15,3,b
174,3,22,10,b,a,0,3,11,a,b,2,c,f,1,35,e,16,a,1,0,b,6,b,1,b,a,3,j,a,b,15,0,a
175,4,2,6,a,a,0,1,15,a,b,13,c,f,1,28,a,18,f,1,2,a,6,a,1,a,a,14,b,a,b,5,0,a
176,1,1,6,a,a,0,1,6,e,b,11,d,a,1,97,n,11,i,1,1,b,5,b,3,b,a,13,f,a,b,10,6,b
177,6,16,6,c,a,0,1,7,e,b,4,c,a,1,71,b,11,a,1,0,a,3,a,1,b,a,4,b,a,b,5,9,b
178,5,22,10,a,a,0,3,8,c,b,7,d,f,2,66,k,15,i,2,4,b,2,b,1,b,a,7,h,b,b,15,18,b
179,5,15,10,b,a,0,1,11,c,b,3,d,f,1,24,r,10,f,3,0,a,2,b,3,b,a,6,h,a,a,10,18,b
180,1,22,1,b,a,0,1,9,d,b,9,d,h,1,39,l,14,f,4,0,a,3,a,1,b,a,7,f,a,b,15,3,b
181,1,0,1,c,a,1,0,13,e,b,8,c,a,1,84,i,17,c,3,0,b,2,a,3,c,a,5,a,e,b,10,15,b
182,2,17,1,a,a,0,5,8,a,b,5,d,h,0,47,k,9,g,0,11,a,5,a,1,b,a,17,f,a,b,10,9,a
183,1,3,5,b,a,0,2,1,c,b,9,c,f,3,39,b,8,a,4,0,a,0,a,1,b,a,10,b,a,b,5,12,b
184,4,17,6,a,a,0,0,6,e,b,10,d,f,0,58,r,8,i,0,3,b,5,a,1,b,a,10,g,b,b,0,18,a
185,2,13,6,b,b,0,2,8,a,b,5,c,a,1,53,b,12,c,3,0,b,1,b,1,b,a,5,b,a,b,5,15,a
186,8,16,6,a,a,0,2,8,a,b,0,d,h,1,34,k,8,g,3,0,b,1,b,1,b,a,8,f,a,b,15,18,a
187,2,18,1,d,a,0,3,0,b,b,19,a,b,0,16,e,18,a,0,0,a,4,a,1,b,a,12,j,g,b,10,15,a
188,1,2,6,c,b,0,1,1,e,b,16,d,b,1,81,k,10,i,1,0,b,5,a,3,b,b,9,f,f,b,10,9,b
189,7,22,6,b,b,1,4,11,e,b,4,c,f,3,86,i,19,b,3,0,b,2,a,1,c,b,9,j,a,b,15,9,b
190,2,5,10,a,a,0,3,12,c,b,10,c,f,0,69,i,15,c,0,10,b,2,a,3,b,a,16,j,a,b,5,15,b
191,1,22,6,a,a,0,3,7,c,b,14,c,f,1,86,f,10,f,3,3,b,3,b,1,a,a,9,b,a,b,15,18,b
192,2,7,10,a,a,0,5,3,d,b,7,a,f,1,32,b,12,f,1,4,b,2,a,1,b,a,10,a,a,b,5,12,b
193,10,11,10,a,a,0,1,6,a,b,11,d,a,1,98,q,12,i,1,8,a,3,b,1,b,a,16,h,a,b,10,0,a
194,4,9,1,a,a,0,6,16,e,b,11,d,f,2,41,m,7,i,2,6,b,5,a,1,d,a,13,h,a,b,10,3,a
195,1,18,1,a,a,0,3,8,e,b,0,c,f,1,36,a,10,c,1,8,b,5,b,1,b,a,13,b,a,b,15,18,b
196,1,17,6,a,a,0,0,0,d,b,20,c,b,0,38,b,17,a,0,4,a,4,a,1,b,a,9,b,a,b,0,9,b
197,10,8,6,a,a,0,5,17,e,b,16,d,f,0,52,n,6,i,6,1,a,4,b,2,b,a,8,h,a,b,5,6,b
198,4,13,6,a,a,0,1,5,e,b,18,c,a,0,45,b,10,a,0,0,a,1,a,3,b,a,7,b,a,b,10,6,b
199,13,6,10,a,a,0,4,6,e,b,12,c,f,1,51,i,6,b,1,4,a,3,a,1,b,a,9,b,a,b,5,12,b
200,1,16,6,a,a,0,1,4,a,b,19,c,g,1,31,g,8,a,2,2,a,2,a,1,b,a,3,b,c,b,15,3,a
201,1,4,10,b,a,0,3,17,c,b,12,c,h,3,16,a,7,a,1,0,a,3,a,3,b,a,7,a,a,b,10,0,b
